scientific_name,ocurrence
Caracterización fisicoquímica,1
Indeterminada Golondrina,1
Phaethontida,1
Thalasseus sp,1
Caracara moñudo LC,1
Cetacea Delphinidae,1
Piquero pardo,1
Guala cabeciroja,1
Foto corregimiento,1
Tortugas marinas,1
Tormenta tropical Erika,1
Cuisa cercana,1
Stercorariius sp,1
Plecaniformes,1
Mapa geomorfológico,1
Cathartiformes,1
Chaetidopterus faber,1
Chuchupa,1
Haemulon plumierii,1
Pelecanus occidentalis (Sup. Izq.),1
S. filiforme,1
Syringodium filiforme flotando,1
Delfín moteado,1
Magnolia Murcia R.,1
Thalassia testudinum,1
Stenella sp Delfin,1
Myrichtys breviceps,1
Playa Salguero,1
Golondrina aliblanca,1
Aves costeras,1
Physalia physalis,1
Sula dactylara (Izq.),1
Pato LC,1
Sphyraena,1
Onichoprion,1
Época húmeda (ASON),1
Caribe chocoano,1
sandvicensis,1
Gaviotín,1
Procellariformes,1
Caracterización oceanográfica,1
Sphoeroides spengleri H,1
Foto salinas,1
Gymnothorax moringa,1
21.Biomasa promedio,1
Chaetodon striatus,1
Isaza David Alonso,1
Piquero pardo LC M-L,1
Haemulon aurolineatum juvenil (izq.),1
Stercorarius. pomarinus,1
Fregata magnificsens,1
Gallinas respectivamente,1
Guala,1
LC M-L,1
Lariidae observadas,1
Himantopus,1
Stenella attenuata Delfín moteado,1
S. dactylatra,1
LÍNEA BASE,1
Limícola,1
Strombus gigas,1
Pelecanidae,1
Haemulidae,1
Tormenta tropical Bill,1
Sphoeroides splengleri,1
Época climática lluviosa,1
F. magnifiscens,1
Recurvirostridae,1
Tormenta tropical Grace,1
"Fregata magnifiscens, Inf",1
plataforma,1
Caracterización climática,1
Tormenta tropical Ana,1
Época húmeda,1
Águila pescadora Pandion,1
Pelícano común LC,1
Procelaridae,1
Procellariidae,1
Coryphaena hippurus.,1
Gaviota reidora,1
Thalasseus maximus (Sup.,1
Pseudopeneus maculatus,1
Myrichthys breviceps C,1
Stercorariidae,1
Sternidae,1
voladores,1
LC,1
Tormenta tropical Henri,1
Fitoplancton,1
Onychoprion,1
Sphoeroides splengeri (der.),1
Cigueñuela,1
Tayrona Tayrona. pala,1
Estos peces suelen,1
Halichoeres bivittatus,1
Foto salinas de,1
Indeterminada,1
Canthidermis maculata,1
Acanthurus coerulus,1
Caracterización sedimentológica,1
Sula dactylara,1
Stenella Delfín,1
Fregata magnificens Fragata común LC,1
Leucophaeus atricilla (Inf. Der.),1
Halodule wrightii,1
Sulidae observadas,1
El págalo pomarino,1
Phoenicopterus ruber,1
Media Guajira,1
Coryphaena hippurus.) (Der.),1
Falconiformes,1
época húmeda,1
Don Rodrigo B.,1
Estos individuos,1
Canthidermis sufflamen asociada,1
Págalo,1
Ésta característica,1
Urolophus jamaicensis,1
Thalassia testudinium,1
Tormenta tropical,1
Falconidae,1
Bowriding,1
